,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD-VI,TSC-I,BARJORA,Bahubali Ferro Alloy Ltd.,10,19,31.07.2008,,,,20/03/12,09/08/12,14/08/12,12/10/12,15/10/12,Detail Report,CE(TSC),CE(PSR),15/10/12,"Detail survey completed, service charges claimed in Nov'12 but not deposited by the Party. They are not responding."
GOMD-VI,TSC-I,BARJORA,SRMB Srijan Ltd.(132 KV),45,85,01.09.2009,,,,,,,,07/01/12,Detail Report,CE(Coml.),Consumer,07/11/12,"Detail survey completed, service charges claimed in Nov'12 but not deposited by the Party. Pollution Clearance certificate is yet to be received by party. Additional allocation of land also not recd.  from WBIDC "
GOMD-VI,TSC-I,BARJORA,K. G. Ispat Private Limited,8.5,22.5,02.09.2009,03/07/12,03/07/12,25/07/12,05.07.10 26.07.12,,,,,Feasibility Report,CE(TSC),CE(PSR),26/07/12,"Power supply is not feasible due to non-avialability of power corridor. Supply thru' U/G cable has been explored. Lateron, Party is not showing interest."
GOMD-VI,TSC-I,BARJORA,Lalwani Ferro Alloys Pvt. Ltd. (33KVto132KV),12.75,19,27/07/11,,,,18/11/11,,,,,Feasibility Report,CE(TSC),CE(PSR),04.10.2013,
GOMD-VI,TSC-I,BARJORA,Samarpan Steels Pvt. Ltd.,6,30,08/05/12,05/06/12,18/07/12,17/08/12,18/08/12,29/03/13,29/03/13,26/06/13,01/07/13,Detail Report,CE(Coml.),Consumer,13/08/13,
GOMD-VI,TSC-I,BARJORA,Shristi Ispat & Alloys Ltd.,2.5,4,09/01/13,24/01/13,24/01/13,30/03/13,01/04/13,,,,,Feasibility Report,CE(Coml.),Consumer,20/09/13,"Route profile approved by SPE on 10.10.2013 Detail survey completed, service charges claimed in Sept'13 but not deposited by the Party. Party not showing interest."
GOMD-VI,TSC-I,BARJORA,Brahm Energy Pvt. Ltd. (132KV),20,60,,08/03/13,13.03.13 17.05.13,24/06/13,27/08/13,27/12/13,30/12/13,,,Detail Report,CE(TSC),CE(SPE),01/05/14,Coml sent a reminder to consumer for NOC from WB pollution control Board on 22.08.14. Party not submitted Pollution certificate. 
GOMD-VI,TSC-I,BARJORA,QVC Steels Pvt Ltd (132KV),15,40,04/04/13,01/05/13,02/05/13,24/06/13,24/08/13,,,,,Feasibility Report,CE(Coml),Consumer,04.10.13,Technical survey report is sent in 04.10.13. Party not deposited survey charges till date. Party not showing interest.
GOMD-VI,TSC-I,BARJORA,Kalimata Ispat Industries Pvt Ltd,1.2,1.2,10/04/13,14/05/13,15/05/13,01/06/13,11/06/13,24.08.13 03.12.13,24.08.13 03.12.13,,,Detail Report,CE(TSC),CE(SPE),29.11.14,
GOMD-VI,TSC-I,BARJORA,Steelex Electrocast (P) Ltd.,9,9,CD Enhancement,20/05/14,20/05/14,20/06/14,21/06/14,19/07/14,19/07/14,16/08/14,20/08/14,Detail Report,CE(SPE),CE(Coml),04/09/14,"construction work almost completed, It has been advised to connect the newly constructed feeder to Kharkia feeder as the earmarked bay is presently not ready/available"
GOMD-VI,TSC-I,BARJORA,Vidyaram Steels Pvt. Ltd.,0.5,4,26/02/2014,(SPE: 13/10/2014) 21.10.14,21.10.14,01.12.14,02.12.14,,,,,Feasibility Report,CE(Coml.),Consumer,17.12.2014,Report sent
GOMD-VI,TSC-I,DTPS,Dhanbad Fuels Limited,5,5,15.02.2010,,,,,,,,,Silent,CE(Coml.),Consumer,17/03/10,Coml./PS/DFL/4176
GOMD-VI,TSC-I,DTPS,Matangi Steels Pvt. Ltd.,3.5,3.5,25/10/13,04/11/13,07/11/13,17/12/13,17/12/13,,,,,Feasibility Report ,CE(TSC),CE(SPE),17/12/13,NOT FEASIBLE deu to non-availabiliy of power line corridor
GOMD-VI,TSC-I,DTPS,Super Smelters Ltd (DTPS),20,20,03/04/13,19.04.13 01.05.13 25.04.14 31.05.14,20.04.13 02.05.13 28.04.14 31.05.14,01.06.13 03.05.14 20.06.14,11.06.13 07.05.14 21.06.14,,,,,Feasibility Report,CE(SPE),CE(Coml),15.01.15,Proposal for diversion of DTPS-DPL line has been accepted by the consumer. SPE requested to coml to carry out the detail survey by consumer.
GOMD-VI,TSC-I,DTPS,Durgapur Cements Works (Birla Cements Ltd),-,-,18.08.14 (Tower conversion),20.09.14,20.09.14,04.12.14,04.12.14,,,,,Feasibility Report,CE(TSC),CE(SPE),04.12.14,Conversion of line from 33KV rail pole to 132KV tower. Part report sent. report on rest of the portion will be sent after completion of survey (Permision of DSP and DTPS may be required)
GOMD-VI,TSC-I,DTPS,"Shyam Ferro Alloys Ltd,",41,51,19.01.15,19.01.15,,,,,,,,Survey requested,CE(TSC),DCE(E/Z),19.01.15,
GOMD-VI,TSC-I,Durgapur,The Supreme Industries Ltd.,1,1,18.10.2004,,,,,,,,,Detail Report,CE(Coml.),Consumer,06/05/08,                  Coml./PS/TSIL/Durgapur/531                      Power from DPL
GOMD-VI,TSC-I,Durgapur,The Supreme Industries Ltd.,1.5,1.5,18.10.2004,,,,,,,,,Detail Report,CE(Coml.),Consumer,06/05/08,                  Coml./PS/TSIL/Durgapur/531                      Power from DPL
GOMD-VI,TSC-I,Durgapur,Ma Vaishnavi Ispat Udyog Pvt. Ltd.,7,7,24/09/13,28/10/13,28/10/13,24/12/13,24/12/13,18/03/14,19/03/14,13/05/14,13/05/14,Survey report,CE(SPE),CE(Coml),04.02.2015,Report sent to Coml.
GOMD-VI,TSC-I,Durgapur,Jagdamba Fiscal Services Pvt. Ltd.,4.5,36,21.06.2005,,,,07/07/08,,,,,Feasibility Report,CE(TSC),CE(PSR),07/07/08,on 
GOMD-VI,TSC-I,Durgapur,SRMB Srijan Ltd. (220KV),40,96.6,10/02/14,20/03/14,20/03/14,06/05/14,07/05/14,04/08/14,04/08/14,,,Detail Requested,CE(TSC),DCE(E/Z),04/08/14,WO issued for detail survey on 16.12.2014
GOMD-VI,TSC-I,Durgapur,Sarajit Food Products Pvt. Ltd.,0.5,0.5,30.06.2009,08/06/12,13/06/12,01/08/12,02/08/12,27.12.12 19.08.13,27.12.12 19.08.13,21/08/13,22.08.13 30.09.13,Detail Report,CE(SPE),CE(Coml),25/04/14,
GOMD-VI,TSC-I,Durgapur,Saran Alloys Private Ltd.,3,11,30.07.2009,,,,,,,,,Detail Report,CE(Coml.),Consumer,29/03/12,Coml./PS/SAPL/Durgapur/8740
GOMD-VI,TSC-I,Durgapur,RS Ispat Limited,7.5,7.5,30.03.2010,,,,,,,,,Silent,,,30/03/10,No Record
GOMD-VI,TSC-I,Durgapur,VSP Steel Pvt. Ltd.,4,15,04/06/12,23/06/12,23/06/12,27/07/12,27/07/12,07/02/13,07/02/13,21/08/13,22/08/13,Survey report,CE(SPE),CE(Coml),04.05.2015,
GOMD-VI,TSC-I,Durgapur,Calstar Sponge Ltd.,10,10,,18.08.12 29.05.14,20.08.12 31.05.14,20.11.12 19.08.14,20.11.12 23.08.14,,,,,Survey report,CE(TSC),CE(SPE),12.02.2015,Report sent route proposed by the applicant
GOMD-VI,TSC-I,Durgapur,R S Ispat Ltd.,10,10,25/03/10,10/01/13,15.01.13 17.05.13,18/05/13,18/05/13,,,,,Feasibility Report ,CE(TSC),CE(PSR),18/05/13,Not Feasible
GOMD-VI,TSC-I,Durgapur,Shree Mahalaxmi Corporation Pvt. Ltd.,3,5,01/03/13,21/03/13,21/03/13,17/05/13,17/05/13,,,,,Feasibility Report,CE(TSC),CE(PSR),17/05/13,"Not Feasible due to 18KM line, no corridor and no spare bay"
GOMD-VI,TSC-I,Durgapur,R S Concast Ltd.,8,15,10/04/13,14/05/13,15.05.13 19.08.13,20/08/13,20/08/13,,,,,Survey requested,CE(TSC),DCE(E/Z),10.02.15,Resurvey report requested as the tapping point changed
GOMD-VI,TSC-I,Durgapur,Macedon Indo Austrian Ventures Pvt. Ltd.,1.5,1.5,29/04/13,25/05/13,25/05/13,16/07/13,16/07/13,24/08/13,24/08/13,09/09/13,13/09/13,Detail Report,CE(Coml.),Consumer,04/10/13,
GOMD-VI,TSC-I,Durgapur,Durgapur Iron & Steel Ltd.,7,7,17/02/14,21/03/14,,,,,,,,Application,,,,"Consumer file a suit against DVC in 2009, advice requested from SPE REMINDER SENT"
GOMD-VI,TSC-I,Durgapur,Bhagwanji Ispat Pvt. Ltd.,3.3,3.3,10/03/14,02/04/14,,,,,,,,Application,,,,"Consumer file a suit against DVC 2009, advice requested from SPE REMINDER SENT"
GOMD-VI,TSC-I,Durgapur,Shivam Meltech (P) Ltd.,14,14,Enhancement,,,,,01/11/13,07/11/13,24/12/13,24/12/13,Detail Report,CE(SPE),CE(Coml),19/05/14,Report sent to coml.
GOMD-VI,TSC-I,Durgapur,Shyam Steel Industries Ltd.(at 33 KV),15,20,Enhancement,,,,,,,,,Detail Report,CE(TSC),CE(SPE),12.02.15,Report sent
GOMD-VI,TSC-II,Jamuria,Mahabir Techno Ispat Pvt. Ltd.,0.75,1.5,24.02.2009,,18/04/09,,,,,,,Silent,CE(TSC),SE(E/Z),18/04/09,CE/TSC/NS-MTIPL/118
GOMD-VI,TSC-II,Jamuria,"Eastern Railway, Jamuria",5,7.5,18.09.2014,25.09.14,,,,,,,,Feasibility Report,CE(SPE),CE(Coml),31.01.15,
GOMD-VI,TSC-II,Jamuria,Baba Smelters Pvt. Ltd.,5,5,12/12/13,20/02/14,21/02/14,15.11.14,18.11.14,,,,,Detail Report,CE(SPE),CE(Coml),7/2/2015,Report sent by e-mail with Estimation sent
GOMD-VI,TSC-II,Jamuria,Super Smelters Ltd. Unit -IV,7,7,18/11/13,21/03/14,22.03.14 24.09.14,09.10.14,24.10.14,,,,,Feasibility Report,CE(TSC),CE(SPE),24.10.14,
GOMD-VI,TSC-II,Jamuria,Shyam Sel & Power Ltd.(5MVA),5,5,06.03.14,23/04/14,28/04/14,27/06/14,,,,,,Feasibility Requested,CE(TSC),DCE(E/Z),28/04/14,Report received but requested to review the proposal. TSC-I has been requested to explore a corridor from DSTPS
GOMD-VI,TSC-II,Jamuria,"Maan Steel & Power Ltd.(G&A Metals (P) Limited)  (in application, Final CD: 1 MVA on 17.06.09",1,20,28.02.2008,,03.03.12 20.06.12,04/09/12,04/09/12,28/01/13,28.01.13 06.04.13 18.04.13,,23/04/13,Detail Report,CE(TSC),CE(PSR),23/04/13,
GOMD-VI,TSC-II,Jamuria,Shivam Dhatu Udyog Pvt. Ltd.,2,40,17.03.2008,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,02/02/12,Coml./PS/SISCL/Koderma/7882
GOMD-VI,TSC-II,Jamuria,Rajshri Industries Private Ltd.,15,15,11.06.2008,,,,,,,,,Silent,CE(Coml.),Consumer,11/09/09,Coml./PS/RIPL/Jamuria/1854
GOMD-VI,TSC-II,Jamuria,Nigar Iron & Steel Co. Pvt. Ltd.,5,10,05.08.2008,,,,,,,,,Silent,CE(Coml.),Consumer,17/11/09,Coml./PS/NI&SCPL/Jamuria/2797
GOMD-VI,TSC-II,Jamuria,MB Sponge & Power Ltd.,0.8,13,19.02.09 27.08.12 (0.8MVA),24/12/12,27/12/12,22/02/13,"23.02.13,18.07.13",29/10/13,29/10/13,10/12/13,31.10.2009 11.12.13,Detail Report,CE(Coml.),Consumer,15/01/14,
GOMD-VI,TSC-II,Jamuria,"WBSEDCL, Jamuria",5,5,24/06/14,12.07.14 22.09.14 10.10.14,14.07.14 22.09.14 10.10.14,,14.11.14,,,,,Detail Report,CE(Coml.),Consumer,22/01/14,Estimate Sent to consumer As WBSEDCL constructed line their line which not as per DVC Spec. that may have to be maintained by Them.
GOMD-VI,TSC-II,Jamuria,Shree Ramdoot Rerolling Mills Pvt. Ltd.,14,16,08.06.2009,,,,,,,,,Silent,CE(Coml.),Consumer,11/12/09, Coml./PS/SRRMPL/Jamuria/3064       reminder for documents
GOMD-VI,TSC-II,Jamuria,AIC Metaliks Pvt. Ltd.,0.5,14,16.09.2009,31.12.2014,31.12.2014,,,,,,,Survey Report,CE(TSC),CE(SPE),12.02.15,Survey report sent
GOMD-VI,TSC-II,Jamuria,Shreegopal Concrete Pvt. Ltd.,3.5,12,21/02/13,20/04/13,22/04/13,28/09/13,01/10/13,07/12/13,07/12/13,16.10.14,21.10.14,Detail Report,CE(TSC),CE(SPE),21.10.14,
GOMD-VI,TSC-II,Jamuria,Dhanbad Fuels Limited,1,1,03/12/12,02.07.13 13.08.13,03.07.13 14.08.13,28/09/13,01/10/13,,,,,Feasibility Report,CE(TSC),CE(SPE),01/10/13,Report sent
GOMD-VI,TSC-II,Jamuria,Shivam Dhatu Udyog Pvt. Ltd.,7.2,7.2,29/07/13,08/08/13,12/08/13,28/09/13,01/10/13,,,,,Feasibility Report,CE(TSC),CE(SPE),01/10/13,Report sent
GOMD-VI,TSC-II,Jamuria,Pragati Wires Pvt. Ltd. ,1.5,2,18/09/13,28/10/13,28/10/13,10/12/13,17/12/13,20/02/14,21/02/14,04.11.14,13.11.2014,Detail Report,CE(Coml.),Consumer,12.12.2014,Detail report with estimated charge of survey & sevice charge sent to consumer
GOMD-VI,TSC-II,Jamuria,Pragati Vyapaar Pvt. Ltd.,2,2,,12/02/14,12/02/14,,11/06/14,,,,,Survey Report,CE(SPE),CE(Coml.),09.02.2015,Report with estimate sent to coml.
GOMD-VI,TSC-II,Jamuria,Rajashri Iron Industries Pvt. Ltd.,0.7,1,23/07/14,04/08/14,04/08/14,,,,,,,Feasibility Report,CE(Coml.),Consumer,29.01.15,e-mail
GOMD-VI,TSC-II,Kalipahari,DPSC Limited,75,75,,29/09/12,15.10.12 01.03.13 26.04.13,05/02/14,,,,,,Silent,CE(TSC),SE(E/Z),15/10/12,"Feasibility survey has been conducted, however, the same could not be finalized as the consumer is yet to decide on the position of the terminal arrangement and switchyard. REMINDER SENT report not from Div"
GOMD-VI,TSC-II,Kalipahari,DPSC Limited,35,45,08.06.2005,,,,,,,,,Silent,CE(PSR),CE(Coml),27/08/07,EDCON/SPM/NS/1508  (CD changed from 45 MVA to 100MVA)
GOMD-VI,TSC-II,Kalipahari,Super Smelters ltd. (132KV),30,30,16/11/11,,,,28/03/12,,,,,Feasibility Report ,CE(TSC),CE(PSR),28/03/12,may be shifted to Jamuria S/s using 220KV Mutli circuit tower. Their Acceptance is awaited from Dec'2012
GOMD-VI,TSC-II,Kalipahari,Gajanan Iron Private Ltd.,3,3,23.09.2005,,,,,,,,17/02/12,Detail Report,CE(TSC),CE(PSR),17/02/12,CE/TSC/NS-GIPL/2465 (Survey could not be done as contact details not valid)
GOMD-VI,TSC-II,Kalipahari,Eastern Railway (Kalipahari TSS) 132KV,15,15,,29/01/13,29.01.13 26.04.13 17.05.13 03.07.13,17.06.13 06.11.13,11/11/13,01/01/14,02/01/14,,,Detail Requested,CE(TSC),DCE(E/Z),02/01/14,Alternate TSS of ER has been submitted. Survey will be commenced soon.
GOMD-VI,TSC-I,MTPS,Times Ferro Alloys Limited,20,40,27/05/08,,,,,,,,,Silent,,,27/05/08,
GOMD-VI,TSC-I,MTPS,Kay Bee Ferro Alloys Pvt. Ltd.,7.5,10,30/09/08,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,09/12/10,Requested to site for validity of the previous report on 06.08.13
GOMD-VI,TSC-I,MTPS,Tanushree Ispat Pvt. Ltd.,5,5,09/07/09,7/3/2012,03.07.2012 20.12.2012,03.08.12 08.02.13,02.05.11 04.08.12 08.02.13,,,,,Feasibility Report,CE(TSC),CE(PSR),08/02/13,
GOMD-VI,TSC-I,MTPS,U.K.Ispat & Power Pvt. Ltd.,5,5,12/01/10,,,,,,,,,Silent,CE(Coml.),Consumer,03/12/10,
GOMD-VI,TSC-I,MTPS,Nilkanth Ferro Pvt. Ltd. (Unit I),21,21,Enhancement,21/03/12,22/03/12,10/04/12,10/04/12,,,,,Feasibility Report,CE(TSC),CE(PSR),10/04/12,
GOMD-VI,TSC-I,MTPS,Nilkant Ferro Ltd. Unit-II,6,22,13/04/12,27/04/12,27/04/12,01/06/12,02/06/12,27/12/13,07/01/13,,26.05.14,Detail Report,CE(TSC),CE(SPE),26.05.14,
GOMD-VI,TSC-I,MTPS,Icore Super Cement Pvt. Ltd.,12,12,17/05/12,27/08/12,27/08/12,11/10/12,11/10/12,Proposed from Amdanga,,,,Feasibility Report,CE(TSC),CE(PSR),10/10/12,Proposed from Amdanga
GOMD-VI,TSC-I,MTPS,Shree PSP Ferro Alloys Pvt. Ltd.,5,20,29/03/12,18/08/12,18/08/12,11/10/12,11/10/12,Shifted to Amdanga,,,,Feasibility Report,CE(TSC),CE(PSR),11/10/12,
GOMD-VI,TSC-I,MTPS,JK Lakshmi Cement Ltd.,4,10,,,,01.12.14,02.12.14,,,,,Feasibility Report,CE(TSC),CE(SPE),02.12.14,
GOMD-VI,TSC-I,Parulia,Pioneer Iron & Steel Corporation Pvt. Ltd.,5,20,14.09.2005,,20/07/06,,,,,,,Silent,CE(TSC),SE(E/Z),20/07/06,CE/TSC/NS-PISCPL/891                       Only BW exist Again they intended to draw power
GOMD-VI,TSC-I,Parulia,Neptune Ispat Private Limited ,9,9,08.08.2007,,,,21/03/12,15.11.14,15.11.14,,,Detail Requested,CE(TSC),DCE(E/Z),15.11.14,
GOMD-VI,TSC-I,Parulia,Jagadamba Fiscal Services Ltd.(40 MVA),0.5,65,13.02.2008,,,,,,07/07/08,,,Silent,CE(TSC),SE(E/Z),07/07/08,
GOMD-VI,TSC-I,Parulia,Amit Ferro Alloys & Steel Pvt. Ltd.,9,27,21.01.2009,,,,,,,,,Survey Requested,CE(TSC),DCE(E/Z),27.01.15,
GOMD-VI,TSC-I,Parulia,Jai Shree Steels Pvt. Ltd.,9,9,27.04.2009,,,,,,,,,Silent,CE(Coml.),Consumer,20/04/09,
GOMD-VI,TSC-I,Parulia,U K Cement Pvt. Ltd.,2.5,3.5,08.01.2010,,,,08/03/11,07.06.12 05.11.12,13.06.12 06.11.12,20.11.12 15.01.13,20.11.12 15.01.13,Detail Report,CE(TSC),CE(PSR),15/01/13,
GOMD-VI,TSC-I,Parulia,Sharp Ferro Alloys Ltd. (220KV),0,0,33KV to 220KV,11/06/12,13/06/12,16/07/12,16/07/12,14/11/12,15/11/12,,05.12.14,Detail Report,CE(TSC),CE(SPE),05.12.14,Report sent with Original route profile
,TSC-IV,Patratu,K P Argo & Co.,0.5,0.5,10.12.2014,18.12.2014,19.12.2014,,,,,,,Feasibility Requested,CE(TSC),DCE(W/Z),19/12/2014,Requested to revised the report on 04.02.15
,,,129,1847.05,4142.866,,,,,,,,,,,,,,